OPS-Kode,Year,Altersgruppe,Wert
5-646.1,2020,25-30,113
5-646.1,2020,30-35,89
5-646.1,2020,35-40,57
5-646.1,2020,40-45,57
5-646.1,2020,45-50,48
5-646.1,2020,50-55,69
5-646.1,2020,55-60,49
5-646.1,2020,60 und älter,52
5-646.x,2020,Insgesamt,2
5-646.x,2020,unter 15,0
5-646.x,2020,15-20,0
5-646.x,2020,20-25,0
5-646.x,2020,25-30,0
5-646.x,2020,30-35,0
5-646.x,2020,35-40,1
5-646.x,2020,40-45,1
5-646.x,2020,45-50,0
5-646.x,2020,50-55,0
5-646.x,2020,55-60,0
5-646.x,2020,60 und älter,0
5-646.y,2020,Insgesamt,0
5-646.y,2020,unter 15,0
5-646.y,2020,15-20,0
5-646.y,2020,20-25,0
5-646.y,2020,25-30,0
5-646.y,2020,30-35,0
5-646.y,2020,35-40,0
5-646.y,2020,40-45,0
5-646.y,2020,45-50,0
5-646.y,2020,50-55,0
5-646.y,2020,55-60,0
5-646.y,2020,60 und älter,0
5-646.0,2021,Insgesamt,1768
5-646.0,2021,unter 15,0
5-646.0,2021,15-20,150
5-646.0,2021,20-25,568
5-646.0,2021,25-30,427
5-646.0,2021,30-35,237
5-646.0,2021,35-40,147
5-646.0,2021,40-45,106
5-646.0,2021,45-50,72
5-646.0,2021,50-55,35
5-646.0,2021,55-60,16
5-646.0,2021,60 und älter,10
5-646.1,2021,Insgesamt,828
5-646.1,2021,unter 15,0
5-646.1,2021,15-20,40
5-646.1,2021,20-25,159
5-646.1,2021,25-30,165
5-646.1,2021,30-35,127
5-646.1,2021,35-40,57
5-646.1,2021,40-45,68
5-646.1,2021,45-50,54
5-646.1,2021,50-55,71
5-646.1,2021,55-60,53
5-646.1,2021,60 und älter,34
5-646.x,2021,Insgesamt,2
5-646.x,2021,unter 15,0
5-646.x,2021,15-20,0
5-646.x,2021,20-25,0
5-646.x,2021,25-30,0
5-646.x,2021,30-35,1
5-646.x,2021,35-40,0
5-646.x,2021,40-45,0
5-646.x,2021,45-50,1
5-646.x,2021,50-55,0
5-646.x,2021,55-60,0
5-646.x,2021,60 und älter,0
5-646.y,2021,Insgesamt,0
5-646.y,2021,unter 15,0
5-646.y,2021,15-20,0
5-646.y,2021,20-25,0
5-646.y,2021,25-30,0
5-646.y,2021,30-35,0
5-646.y,2021,35-40,0
5-646.y,2021,40-45,0
5-646.y,2021,45-50,0
5-646.y,2021,50-55,0
5-646.y,2021,55-60,0
5-646.y,2021,60 und älter,0
5-646.0,2022,Insgesamt,1699
5-646.0,2022,unter 15,0
5-646.0,2022,15-20,126
5-646.0,2022,20-25,505
5-646.0,2022,25-30,439
5-646.0,2022,30-35,263
5-646.0,2022,35-40,136
5-646.0,2022,40-45,111
5-646.0,2022,45-50,44
5-646.0,2022,50-55,36
5-646.0,2022,55-60,22
5-646.0,2022,60 und älter,17
5-646.1,2022,Insgesamt,896
5-646.1,2022,unter 15,0
5-646.1,2022,15-20,36
5-646.1,2022,20-25,167
5-646.1,2022,25-30,194
5-646.1,2022,30-35,118
5-646.1,2022,35-40,87
5-646.1,2022,40-45,80
5-646.1,2022,45-50,61
5-646.1,2022,50-55,57
5-646.1,2022,55-60,60
5-646.1,2022,60 und älter,36
5-646.x,2022,Insgesamt,5
5-646.x,2022,unter 15,0
5-646.x,2022,15-20,0
5-646.x,2022,20-25,2
5-646.x,2022,25-30,1
5-646.x,2022,30-35,0
5-646.x,2022,35-40,1
5-646.x,2022,40-45,0
5-646.x,2022,45-50,0
5-646.x,2022,50-55,1
5-646.x,2022,55-60,0
5-646.x,2022,60 und älter,0
5-646.y,2022,Insgesamt,0
5-646.y,2022,unter 15,0
5-646.y,2022,15-20,0
5-646.y,2022,20-25,0
5-646.y,2022,25-30,0
5-646.y,2022,30-35,0
5-646.y,2022,35-40,0
5-646.y,2022,40-45,0
5-646.y,2022,45-50,0
5-646.y,2022,50-55,0
5-646.y,2022,55-60,0
5-646.y,2022,60 und älter,0
5-646.0,2023,Insgesamt,1917
5-646.0,2023,unter 15,0
5-646.0,2023,15-20,136
5-646.0,2023,20-25,591
5-646.0,2023,25-30,475
5-646.0,2023,30-35,298
5-646.0,2023,35-40,155
5-646.0,2023,40-45,103
5-646.0,2023,45-50,65
5-646.0,2023,50-55,45
5-646.0,2023,55-60,32
5-646.0,2023,60 und älter,17
5-646.1,2023,Insgesamt,1152
5-646.1,2023,unter 15,0
5-646.1,2023,15-20,44
5-646.1,2023,20-25,250
5-646.1,2023,25-30,244
5-646.1,2023,30-35,146
5-646.1,2023,35-40,117
5-646.1,2023,40-45,93
5-646.1,2023,45-50,70
5-646.1,2023,50-55,68
5-646.1,2023,55-60,71
5-646.1,2023,60 und älter,49
5-646.x,2023,Insgesamt,5
5-646.x,2023,unter 15,0
5-646.x,2023,15-20,1
5-646.x,2023,20-25,1
5-646.x,2023,25-30,0
5-646.x,2023,30-35,1
5-646.x,2023,35-40,0
5-646.x,2023,40-45,0
5-646.x,2023,45-50,0
5-646.x,2023,50-55,0
5-646.x,2023,55-60,1
5-646.x,2023,60 und älter,1
5-646.y,2023,Insgesamt,1
5-646.y,2023,unter 15,0
5-646.y,2023,15-20,0
5-646.y,2023,20-25,0
5-646.y,2023,25-30,1
5-646.y,2023,30-35,0
5-646.y,2023,35-40,0
5-646.y,2023,40-45,0
5-646.y,2023,45-50,0
5-646.y,2023,50-55,0
5-646.y,2023,55-60,0
5-646.y,2023,60 und älter,0
5-646.0,2024,Insgesamt,2152
5-646.0,2024,unter 15,0
5-646.0,2024,15-20,141
5-646.0,2024,20-25,609
5-646.0,2024,25-30,594
5-646.0,2024,30-35,348
5-646.0,2024,35-40,180
5-646.0,2024,40-45,109
5-646.0,2024,45-50,76
5-646.0,2024,50-55,41
5-646.0,2024,55-60,35
5-646.0,2024,60 und älter,19
5-646.1,2024,Insgesamt,1364
5-646.1,2024,unter 15,0
5-646.1,2024,15-20,41
5-646.1,2024,20-25,283
5-646.1,2024,25-30,347
5-646.1,2024,30-35,195
5-646.1,2024,35-40,141
5-646.1,2024,40-45,112
5-646.1,2024,45-50,66
5-646.1,2024,50-55,67
5-646.1,2024,55-60,59
5-646.1,2024,60 und älter,53
5-646.x,2024,Insgesamt,4
5-646.x,2024,unter 15,0
5-646.x,2024,15-20,0
5-646.x,2024,20-25,1
5-646.x,2024,25-30,1
5-646.x,2024,30-35,0
5-646.x,2024,35-40,0
5-646.x,2024,40-45,0
5-646.x,2024,45-50,0
5-646.x,2024,50-55,1
5-646.x,2024,55-60,1
5-646.x,2024,60 und älter,0
5-646.y,2024,Insgesamt,0
5-646.y,2024,unter 15,0
5-646.y,2024,15-20,0
5-646.y,2024,20-25,0
5-646.y,2024,25-30,0
5-646.y,2024,30-35,0
5-646.y,2024,35-40,0
