Jahr,Altersgruppe,Attribute,Value
2008,20,Insgesamt,1002389
2008,21,männlich,505716
2008,21,weiblich,483793
2008,21,Insgesamt,989509
2008,22,männlich,499772
2008,22,weiblich,482625
2008,22,Insgesamt,982397
2008,23,männlich,487907
2008,23,weiblich,472529
2008,23,Insgesamt,960436
2008,24,männlich,490102
2008,24,weiblich,475006
2008,24,Insgesamt,965108
2008,25,männlich,496269
2008,25,weiblich,482447
2008,25,Insgesamt,978716
2008,26,männlich,511425
2008,26,weiblich,496922
2008,26,Insgesamt,1008347
2008,27,männlich,509142
2008,27,weiblich,498520
2008,27,Insgesamt,1007662
2008,28,männlich,514771
2008,28,weiblich,503289
2008,28,Insgesamt,1018060
2008,29,männlich,491449
2008,29,weiblich,479958
2008,29,Insgesamt,971407
2008,30,männlich,486059
2008,30,weiblich,473651
2008,30,Insgesamt,959710
2008,31,männlich,482194
2008,31,weiblich,470288
2008,31,Insgesamt,952482
2008,32,männlich,476051
2008,32,weiblich,464374
2008,32,Insgesamt,940425
2008,33,männlich,465660
2008,33,weiblich,452010
2008,33,Insgesamt,917670
2008,34,männlich,471729
2008,34,weiblich,460654
2008,34,Insgesamt,932383
2008,35,männlich,477537
2008,35,weiblich,466180
2008,35,Insgesamt,943717
2008,36,männlich,526095
2008,36,weiblich,510686
2008,36,Insgesamt,1036781
2008,37,männlich,583027
2008,37,weiblich,562575
2008,37,Insgesamt,1145602
2008,38,männlich,611682
2008,38,weiblich,587420
2008,38,Insgesamt,1199102
2008,39,männlich,658754
2008,39,weiblich,629587
2008,39,Insgesamt,1288341
2008,40,männlich,690886
2008,40,weiblich,659669
2008,40,Insgesamt,1350555
2008,41,männlich,708225
2008,41,weiblich,677554
2008,41,Insgesamt,1385779
2008,42,männlich,728841
2008,42,weiblich,695415
2008,42,Insgesamt,1424256
2008,43,männlich,736251
2008,43,weiblich,697370
2008,43,Insgesamt,1433621
2008,44,männlich,747336
2008,44,weiblich,711352
2008,44,Insgesamt,1458688
2008,45,männlich,742263
2008,45,weiblich,708663
2008,45,Insgesamt,1450926
2008,46,männlich,717282
2008,46,weiblich,688903
2008,46,Insgesamt,1406185
2008,47,männlich,703370
2008,47,weiblich,682092
2008,47,Insgesamt,1385462
2008,48,männlich,683137
2008,48,weiblich,663918
2008,48,Insgesamt,1347055
2008,49,männlich,661424
2008,49,weiblich,642994
2008,49,Insgesamt,1304418
2008,50,männlich,627430
2008,50,weiblich,610172
2008,50,Insgesamt,1237602
2008,51,männlich,613173
2008,51,weiblich,598656
2008,51,Insgesamt,1211829
2008,52,männlich,596236
2008,52,weiblich,585719
2008,52,Insgesamt,1181955
2008,53,männlich,576007
2008,53,weiblich,571166
2008,53,Insgesamt,1147173
2008,54,männlich,561709
2008,54,weiblich,566203
2008,54,Insgesamt,1127912
2008,55,männlich,541797
2008,55,weiblich,550820
2008,55,Insgesamt,1092617
2008,56,männlich,541674
2008,56,weiblich,552396
2008,56,Insgesamt,1094070
2008,57,männlich,529881
2008,57,weiblich,541400
2008,57,Insgesamt,1071281
2008,58,männlich,531872
2008,58,weiblich,544471
2008,58,Insgesamt,1076343
2008,59,männlich,514517
2008,59,weiblich,523388
2008,59,Insgesamt,1037905
2008,60,männlich,472238
2008,60,weiblich,479413
2008,60,Insgesamt,951651
2008,61,männlich,441313
2008,61,weiblich,452833
2008,61,Insgesamt,894146
2008,62,männlich,384430
2008,62,weiblich,396174
2008,62,Insgesamt,780604
2008,63,männlich,335787
2008,63,weiblich,353388
2008,63,Insgesamt,689175
2008,64,männlich,445219
2008,64,weiblich,467936
2008,64,Insgesamt,913155
2008,65,männlich,450607
2008,65,weiblich,474561
2008,65,Insgesamt,925168
2008,66,männlich,434892
2008,66,weiblich,462540
2008,66,Insgesamt,897432
2008,67,männlich,520269
2008,67,weiblich,561795
2008,67,Insgesamt,1082064
2008,68,männlich,540863
2008,68,weiblich,593661
2008,68,Insgesamt,1134524
2008,69,männlich,522969
2008,69,weiblich,582400
2008,69,Insgesamt,1105369
2008,70,männlich,480629
2008,70,weiblich,542602
2008,70,Insgesamt,1023231
2008,71,männlich,439812
2008,71,weiblich,505428
2008,71,Insgesamt,945240
2008,72,männlich,416391
2008,72,weiblich,490932
2008,72,Insgesamt,907323
2008,73,männlich,390828
2008,73,weiblich,469867
2008,73,Insgesamt,860695
2008,74,männlich,352146
2008,74,weiblich,433621
2008,74,Insgesamt,785767
2008,75,männlich,273460
2008,75,weiblich,346628
2008,75,Insgesamt,620088
2008,76,männlich,260888
2008,76,weiblich,341760
2008,76,Insgesamt,602648
2008,77,männlich,253724
2008,77,weiblich,344411
2008,77,Insgesamt,598135
2008,78,männlich,252764
2008,78,weiblich,357176
