"Name","Addresse","Fallzahl F64","Bettananzahl","Stationäre Fälle insgesamt"
"Universitätskliniken des Saarlandes","Kirrberger Str. 100
                                66421 Homburg","Datenschutz","1,466","45,062"
"DRK-Krankenhaus Saarlouis","Vaubanstr. 25
                                66740 Saarlouis","Datenschutz","221","10,383"
"Diakonissen-Stiftungs- Krankenhaus Speyer","Paul-Egell-Str. 33
                                67346 Speyer","Datenschutz","484","24,805"
"St. Vincentius-Krankenhaus","Holzstr. 4 A
                                67346 Speyer","23","256","9,042"
"Klinikum Worms gGmbH","Gabriel-von-Seidl-Str. 81
                                67550 Worms","Datenschutz","696","30,516"
"Westpfalz-Klinikum GmbH Kaiserslautern","Hellmut-Hartert-Straße  1
                                67655 Kaiserslautern","12","975","32,570"
"Universitätsklinikum Mannheim","Theodor-Kutzer-Ufer 1-3
                                68167 Mannheim","120","1,352","44,176"
"Klinikum der Universität Heidelberg","Im Neuenheimer Feld 672
                                69120 Heidelberg","Datenschutz","1,277","56,447"
"Krankenhaus Salem Evang. Stadtmission Heidelberg","Zeppelinstr. 11-33
                                69121 Heidelberg","Datenschutz","238","9,487"
"St. Elisabeth Klinik","Max-Reger-Str. 5-7
                                69121 Heidelberg","Datenschutz","40","4,376"
"GRN - Klinik Weinheim","Röntgenstr. 1
                                69469 Weinheim","4","220","11,030"
"Klinikum Stuttgart - Katharinenhospital","Kriegsbergstraße  60
                                70174 Stuttgart","6","981","34,306"
"Robert Bosch Krankenhaus, Standort City","Hohenheimer Str. 21
                                70184 Stuttgart","19","150","1,908"
"Marienhospital","Boeheimstr. 37
                                70199 Stuttgart","18","761","30,143"
"Robert-Bosch-Krankenhaus","Auerbachstraße 110
                                70376 Stuttgart","Datenschutz","880","29,358"
"Kreiskliniken Böblingen gGmbH - Kliniken Böblingen","Bunsenstraße 120
                                71032 Böblingen","Datenschutz","335","18,105"
"BG Klinik Tübingen","Schnarrenbergstr. 95
                                72076 Tübingen","Datenschutz","257","8,860"
"Zollernalb Klinikum Balingen","Tübingerstr. 30
                                72336 Balingen","Datenschutz","242","9,900"
"medius Klinik Nürtingen","Auf dem Säer 1
                                72622 Nürtingen","Datenschutz","353","17,193"
"Rems-Murr-Klinik Schorndorf","Schlichtener Str. 105
                                73614 Schorndorf","Datenschutz","248","10,770"
"SLK-Kliniken Heilbronn GmbH - Klinikum am Gesundbrunnen","Am Gesundbrunnen 20
                                74078 Heilbronn","Datenschutz","971","49,598"
"HELIOS Klinikum Pforzheim","Kanzlerstr. 2-6
                                75175 Pforzheim","Datenschutz","500","21,816"
"Städtisches Klinikum Karlsruhe","Moltkestr. 90
                                76133 Karlsruhe","Datenschutz","1,596","52,948"
"Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH","Klinikstr. 11
                                78052 Villingen-Schwenningen","Datenschutz","826","38,440"
"Hegau-Bodensee-Klinikum Standort Singen","Virchowstrasse 10
                                78224 Singen","Datenschutz","448","18,992"
"Klinikum Konstanz","Mainaustraße 35
                                78464 Konstanz","Datenschutz","380","16,254"
"St. Josefs-Krankenhaus","Sautierstr. 1
                                79104 Freiburg","Datenschutz","282","20,031"
"Universitätsklinikum Freiburg","Hugstetter Str. 49
                                79106 Freiburg","41","1,693","64,106"
"Kreiskrankenhaus Emmendingen","Gartenstr. 44
                                79312 Emmendingen","Datenschutz","263","10,386"
"Rotkreuzklinikum München","Nymphenburger Straße 163
                                80634 München","308","435","19,677"
"Kreiskrankenhaus München-Pasing","Steinerweg 5
                                81241 München","Datenschutz","412","20,486"
"Dr. Lubos Kliniken Pasing","Schmiedwegerl 2-6
                                81241 München","465","45","1,236"
"Dr. Lubos Kliniken Bogenhausen","Denninger Str. 44
                                81679 München","713","85","3,866"
"Urologische Klinik München-Planegg","Germeringer Str. 32
                                82152 Planegg","393","75","3,515"
"WolfartKlinik","Waldstr. 7
                                82166 Gräfelfing","Datenschutz","105","6,860"
"Städtisches Klinikum Friedrichshafen","Röntgenstr. 2
                                88048 Friedrichshafen","Datenschutz","370","17,450"
"Asklepios Klinik Lindau GmbH","Friedrichshafener Str. 82
                                88131 Lindau","Datenschutz","110","6,037"
"Klinikum der Universität Ulm - Standort MB/SB","Eythstraße 24
                                89075 Ulm","4","454","23,113"
"Klinikum der Universität Ulm","Albert-Einstein-Allee 29
                                89081 Ulm","Datenschutz","696","25,676"
"Klinik Günzburg","Lindenallee 1
                                89312 Günzburg","Datenschutz","240","9,827"
"Klinikum Nürnberg Nord","Prof.-Ernst-Nathan-Str. 1
                                90419 Nürnberg","Datenschutz","1,215","46,144"
"Kliniken Dr. Erler","Kontumazgarten 4-18
                                90429 Nürnberg","Datenschutz","220","9,797"
"Klinikum Nürnberg Süd","Breslauer Straße 201
                                90471 Nürnberg","Datenschutz","929","38,274"
"Klinikum der Friedrich- Alexander-Universität","Krankenhausstr. 12
                                91054 Erlangen","17","1,462","59,704"
"Bezirksklinikum Ansbach","Feuchtwanger Straße 38
                                91522 Ansbach","Datenschutz","422","4,183"
"Klinikum St. Marien","Mariahilfbergweg 7
                                92224 Amberg","Datenschutz","598","26,437"
"Klinikum Weiden","Söllnerstraße 16
                                92637 Weiden","13","649","26,031"
"Krankenhaus der Barmherzigen Brüder","Prüfeningerstr. 86
                                93049 Regensburg","Datenschutz","985","46,298"
"Caritas-Krankenhaus St. Josef","Landshuter Str. 65
                                93053 Regensburg","Datenschutz","325","17,790"
"Klinikum der Universität Regensburg","Franz-Josef-Strauß-Allee 11
                                93053 Regensburg","Datenschutz","845","27,876"
"Klinikum Bamberg -Betriebsstätte am Bruderwald-","Buger Str. 80
                                96049 Bamberg","Datenschutz","1,136","35,009"
"Klinikum Würzburg Mitte","Salvatorstr. 7
                                97074 Würzburg","Datenschutz","675","27,775"
"Klinikum der Universität Würzburg","Josef-Schneider-Str. 2
                                97080 Würzburg","7","1,452","61,160"
"Main-Klinik Ochsenfurt","Am Greinberg 25
                                97199 Ochsenfurt","Datenschutz","140","6,208"
"HELIOS Klinikum Erfurt GmbH","Nordhäuser Str. 74
                                99089 Erfurt","Datenschutz","1,261","48,607"
"Sophien- und Hufeland Klinikum","Henry-van-de-Velde-Str. 2
                                99425 Weimar","8","582","19,174"
